"X71101","X71102","X71103","X71104","X71105","X71107","X71108","X71109","X71110","X71111","X71112","X71113","X71114","X71115"
"71101",1,1,1,0,0,0,0,0,1,0,0,0,0,1
"71102",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71103",0,0,1,0,1,0,0,0,0,0,0,1,0,0
"71104",0,0,0,0,0,0,0,0,0,1,1,0,1,1
"71105",0,1,1,0,1,1,1,1,0,0,0,1,0,0
"71107",0,1,1,1,0,0,1,0,0,0,0,0,0,0
"71108",0,1,1,0,1,1,1,1,1,0,0,1,0,1
"71109",0,0,0,1,0,0,0,1,0,0,0,1,0,0
"71110",0,1,1,0,0,0,0,0,1,0,0,1,0,1
"71111",1,0,0,1,0,0,0,0,0,1,1,1,1,1
"71112",1,0,0,1,1,0,0,0,0,1,1,1,1,1
"71113",1,1,1,1,1,1,1,0,1,1,1,1,0,1
"71114",0,0,0,1,0,0,0,0,0,1,1,1,1,1
"71115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
