"X71202","X71203","X71204","X71205","X71206","X71208","X71209","X71210","X71211","X71212","X71213","X71214","X71215"
"71202",0,0,0,0,1,1,0,0,1,0,0,0,0
"71203",0,1,0,0,0,0,0,0,0,0,0,1,0
"71204",0,0,0,0,0,0,0,1,0,0,0,0,0
"71205",0,0,1,1,0,0,0,0,0,1,1,1,0
"71206",0,0,0,1,1,1,0,0,0,0,0,0,0
"71208",1,1,0,1,1,0,0,0,1,0,0,1,0
"71209",1,1,1,1,1,1,1,1,0,0,1,0,1
"71210",1,0,1,0,0,0,1,1,1,1,1,0,0
"71211",1,0,0,0,1,1,0,1,1,1,1,0,0
"71212",0,0,1,0,0,0,0,1,0,0,1,0,0
"71213",0,0,0,0,0,0,0,0,0,0,0,0,0
"71214",0,1,0,0,0,0,0,0,0,0,0,0,0
"71215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
