"X23101","X23102","X23103","X23104","X23105","X23106","X23107","X23108","X23109","X23110","X23111","X23112","X23113","X23114","X23115","X23117","X23118","X23119","X23120"
"23101",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23102",0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1
"23103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23104",1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
"23105",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0
"23106",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23107",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"23108",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"23109",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"23110",0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0
"23111",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"23112",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"23113",0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"23114",0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
"23115",1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"23117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23119",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"23120",0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
