"X53101","X53103","X53104","X53105","X53106","X53107","X53108","X53109","X53110","X53111","X53112","X53113","X53114","X53115","X53116","X53117","X53118","X53119","X53120","X53121"
"53101",1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"53103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53104",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"53105",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53106",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"53107",0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"53108",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"53109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53110",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"53111",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"53112",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
"53113",0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
"53114",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"53115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53116",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"53117",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"53118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53120",1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"53121",1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0
