"X55101","X55102","X55104","X55105","X55106","X55108","X55109","X55110","X55111","X55112","X55113","X55114","X55115","X55116","X55118","X55119","X55120","X55121","X55122","X55123","X55125","X55126"
"55101",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55102",0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
"55104",0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0
"55105",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55106",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"55108",0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"55109",0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1
"55110",0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
"55111",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"55112",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"55113",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
"55114",0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"55115",0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"55116",0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
"55118",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55119",0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0
"55120",0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
"55121",0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
"55122",0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
"55123",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"55125",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"55126",0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
