"X65101","X65102","X65103","X65104","X65105","X65106","X65107","X65108","X65109","X65111","X65112","X65113","X65114","X65115","X65116","X65117"
"65101",0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"65102",1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"65103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65104",1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
"65105",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"65106",1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
"65107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65111",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"65112",1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
"65113",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"65114",1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1
"65115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65116",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"65117",1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0
