"X31201","X31202","X31203","X31204","X31205","X31206","X31207","X31208","X31209","X31210","X31211","X31212","X31213","X31214","X31215","X31216","X31217"
"31201",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"31202",0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
"31203",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
"31204",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"31205",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"31206",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
"31207",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31209",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"31210",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31211",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"31212",0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"31213",0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0
"31214",0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0
"31215",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"31216",0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"31217",0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
