"X52101","X52104","X52105","X52106","X52107","X52108","X52109","X52110","X52111","X52112","X52113","X52114","X52115","X52116","X52117","X52118","X52119","X52120","X52122","X52123","X52124"
"52101",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52104",0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"52105",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"52106",1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0
"52107",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"52108",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"52109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52110",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0
"52111",1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1
"52112",1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"52113",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"52114",0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0
"52115",0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0
"52116",1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1
"52117",1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0
"52118",0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
"52119",0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"52120",1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0
"52122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52123",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"52124",0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
