"X57101","X57102","X57103","X57104","X57105","X57106","X57107","X57108","X57109","X57110","X57111","X57113","X57114","X57115","X57116"
"57101",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"57102",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"57103",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"57104",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"57105",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"57106",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"57107",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"57108",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"57109",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"57110",1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
"57111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57116",0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
